unique_id,n_delta_x,x1,y1,x2,y2,type
i93_sb_640,2,10,100,210,100,main
i93_sb_650,2,210,100,410,100,main
i93_sb_660,2,410,100,610,100,main
i93_sb_670,2,610,100,810,100,main
i93_sb_680,2,810,100,1010,100,main
i93_sb_690,2,1010,100,1210,100,main
i93_sb_700,3,1210,100,1510,100,main
i93_sb_710,2,1510,100,1710,100,main
i93_sb_720,2,1710,100,1910,100,main
i93_sb_730,3,1910,100,2210,100,main
i93_sb_740,2,2210,100,2410,100,main
i93_sb_750,3,2410,100,2710,100,main
i93_sb_760,2,2710,100,2910,100,main
i93_sb_770,2,2910,100,3110,100,main
i93_sb_780,2,3110,100,3310,100,main
i93_sb_790,2,3310,100,3510,100,main
R12066,1,310,150,410,100,ramp
R12067,1,510,150,610,100,ramp
R12068,1,810,100,910,150,ramp
R12069,1,1010,100,1110,150,ramp
R12070,1,1210,100,1310,150,ramp
R12071,1,1410,150,1510,100,ramp
R12072,1,1710,100,1810,150,ramp
R12073,1,1910,100,2010,150,ramp
R12074,1,2110,150,2210,100,ramp
R12075,1,2410,100,2510,150,ramp
R12076,1,2610,150,2710,100,ramp
R12077,1,3110,100,3210,150,ramp
R12078,1,3310,100,3410,150,ramp
i93_sb_hov_02a,1,210,100,310,50,ramp
i93_sb_hov_02 ,25,310,50,2810,50,hov
i93_sb_hov_02b,1,2810,50,2910,100,ramp
