unique_id,awdt_2010,peak_2010_6_to_7_am,peak_2010_7_to_8_am,peak_2010_8_to_9_am,peak_2010_9_to_10_am,peak_2010_3_to_4_pm,peak_2010_4_to_5_pm,peak_2010_5_to_6_pm,peak_2010_6_to_7_pm
i93_sb_640,108000,4200,5300,4700,4600,7800,7700,7700,6800
i93_sb_650,103500,4200,5300,4700,4950,6700,6500,6500,5800
i93_sb_660,112000,4450,5700,5100,5150,7400,7250,7250,6500
i93_sb_670,118500,4550,5950,5400,4350,7900,7800,7800,7000
i93_sb_680,101000,3900,5050,4700,4050,6850,6750,6700,6000
i93_sb_690,96000,3650,4750,4400,4000,6600,6540,6400,5750
i93_sb_700,93500,3625,4700,4350,4450,6250,6050,5900,5550
i93_sb_710,102500,3925,5150,4850,4250,6800,6650,6450,6100
i93_sb_720,98000,3775,4900,4650,4100,6400,6250,6050,5750
i93_sb_730,93500,3700,4750,4500,4650,6000,5800,5550,5400
i93_sb_740,103500,4100,5450,5200,4300,6700,6500,6200,6100
i93_sb_750,94000,3850,5050,4700,4750,5650,5400,5150,5400
i93_sb_760,102500,4200,5650,5300,4750,6300,6200,5950,6000
i93_sb_770,107000,4200,5650,5300,4750,7400,7400,7150,7000
i93_sb_780,53000,1750,2550,2450,2300,4000,4050,4050,3800
i93_sb_790,44000,1500,2100,2000,1900,3400,3300,3100,3100
R12066,8500,250,400,400,350,700,750,750,700
R12067,6500,100,250,300,200,500,550,550,500
R12068,17500,650,900,700,800,1050,1100,1100,1000
R12069,5000,250,300,300,300,250,300,300,250
R12070,2500,25,50,50,50,350,500,500,200
R12071,9000,300,450,500,450,550,550,550,550
R12072,4500,150,250,200,200,400,400,400,350
R12073,4500,75,150,150,150,400,500,500,350
R12074,10000,400,700,700,550,700,650,650,700
R12075,9500,250,400,500,350,1050,1050,1050,700
R12076,8500,350,600,600,450,650,800,800,600
R12077,54000,2450,3100,2850,2450,3400,3100,3100,3200
R12078,9000,250,450,450,400,600,850,850,700
i93_sb_hov_02a,4500,-9999,-9999,-9999,-9999,1100,1200,1200,1000
i93_sb_hov_02 ,4500,-9999,-9999,-9999,-9999,1100,1200,1200,1000
i93_sb_hov_02b,4500,-9999,-9999,-9999,-9999,1100,1200,1200,1000
