unique_id,n_delta_x,x1,y1,x2,y2,type
i93_sb_570,2,10,100,210,100,main
i93_sb_580,2,210,100,410,100,main
i93_sb_590,2,410,100,610,100,main
i93_sb_600,3,610,100,910,100,main
i93_sb_610,2,910,100,1110,100,main
i93_sb_620,3,1110,100,1410,100,main
i93_sb_630,3,1410,100,1710,100,main
i93_sb_640,2,1710,100,1910,100,main
R11732,1,110,50,210,100,ramp
R12126,1,310,150,410,100,ramp
R12127,1,610,100,710,150,ramp
R12131,1,810,50,910,100,ramp
R12132,1,1010,150,1110,100,ramp
R12064,1,1410,100,1510,150,ramp
R12065,1,1610,150,1710,100,ramp
