unique_id,awdt_2010,peak_2010_6_to_7_am,peak_2010_7_to_8_am,peak_2010_8_to_9_am,peak_2010_9_to_10_am,peak_2010_3_to_4_pm,peak_2010_4_to_5_pm,peak_2010_5_to_6_pm,peak_2010_6_to_7_pm
i93_sb_570,74500,4050,4250,3600,3700,3950,3450,3500,3850
i93_sb_580,100500,5350,6000,5350,5300,5500,5050,5050,5300
i93_sb_590,115000,5600,6500,5900,5900,6600,6350,6350,6300
i93_sb_600,91000,400,4900,4500,4500,5500,5400,5400,5100
i93_sb_610,95000,4050,5050,4600,4600,6100,6100,6100,5600
i93_sb_620,114000,4550,5900,5400,5400,7500,7400,7400,6800
i93_sb_630,97000,3800,4800,4200,4200,6800,6700,6700,6000
i93_sb_640,108000,4200,5300,4700,4600,7800,7700,7700,6800
R11732,26000,1300,1750,1750,1600,1550,1550,1550,1450
R12126,14500,250,500,550,600,1100,1300,1300,1000
R12127,24000,1600,1600,1400,1400,1100,900,950,1200
R12131,4000,50,150,100,100,600,700,700,500
R12132,19000,500,850,800,800,1400,1300,1300,1200
R12064,17000,750,1100,1200,1200,700,700,700,800
R12065,11000,400,500,500,400,1000,1000,1000,800
