unique_id,n_delta_x,x1,y1,x2,y2,type
i93_sb_370,2,10,100,210,100,main
i93_sb_380,3,210,100,510,100,main
i93_sb_390,2,510,100,710,100,main
i93_sb_400,3,710,100,1010,100,main
i93_sb_410,2,1010,100,1210,100,main
i93_sb_420,2,1210,100,1410,100,main
i93_sb_430,2,1410,100,1610,100,main
i93_sb_440,2,1610,100,1810,100,main
i93_sb_450,2,1810,100,2010,100,main
i93_sb_460,3,2010,100,2310,100,main
i93_sb_470,3,2310,100,2610,100,main
i93_sb_hov_01a,1,1810,100,1910,50,ramp
i93_sb_hov_01,7,1910,50,2610,50,hov
R12182,1,210,100,310,150,ramp
R12183,1,410,150,510,100,ramp
R12184,1,710,100,810,150,ramp
R12185,1,910,150,1010,100,ramp
R12186,1,1110,150,1210,100,ramp
R12187,1,1410,100,1510,150,ramp
R12188,1,1610,100,1710,150,ramp
R12190,1,2010,100,2110,150,ramp
R12189,1,2210,150,2310,100,ramp
