unique_id,awdt_2010,peak_2010_6_to_7_am,peak_2010_7_to_8_am,peak_2010_8_to_9_am,peak_2010_9_to_10_am,peak_2010_3_to_4_pm,peak_2010_4_to_5_pm,peak_2010_5_to_6_pm,peak_2010_6_to_7_pm
i93_sb_370,95000,7700,5880,5400,5400,5800,6000,6800,6100
i93_sb_380,85000,7100,5100,4750,4950,5100,5200,5900,5400
i93_sb_390,94500,7600,5800,5400,5500,5550,5600,6300,5850
i93_sb_400,84000,7000,5000,4600,4900,4850,4900,5500,5100
i93_sb_410,89000,7200,5300,4900,5200,5150,5150,5750,5350
i93_sb_420,99000,7700,6000,5600,5800,5700,5650,6250,5900
i93_sb_430,83500,6700,5200,4800,4900,4800,4700,5200,4950
i93_sb_440,75500,6100,4700,4400,4400,4300,4200,4500,4350
i93_sb_450,63500,5400,3950,3600,3700,3450,3300,3450,3350
i93_sb_460,50000,4100,3100,2800,2900,2650,2400,2450,2550
i93_sb_470,72000,5400,4800,4300,4200,3750,3400,3350,3450
i93_sb_hov_01a,12000,700,750,800,700,850,900,1050,1000
i93_sb_hov_01,12000,700,750,800,700,850,900,1050,1000
R12182,10000,600,700,650,450,700,800,900,700
R12183,9500,500,700,650,550,450,400,400,450
R12184,10500,600,800,800,600,700,700,800,750
R12185,5000,200,300,300,300,300,250,250,250
R12186,10000,500,700,700,600,550,500,500,550
R12187,15500,1000,800,800,900,900,950,1050,950
R12188,8000,600,500,400,500,500,500,700,600
R12190,13500,1300,850,800,800,800,900,1000,800
R12189,22000,1300,1500,1500,1300,1100,1000,900,900
,,,, ,,,,,
