unique_id,awdt_2010,peak_2010_6_to_7_am,peak_2010_7_to_8_am,peak_2010_8_to_9_am,peak_2010_9_to_10_am,peak_2010_3_to_4_pm,peak_2010_4_to_5_pm,peak_2010_5_to_6_pm,peak_2010_6_to_7_pm
i93_sb_470,72000,5400,4800,4300,4200,3750,3400,3350,3450
i93_sb_480,50000,3800,3500,3100,3000,2400,2100,2100,2300
i93_sb_490,78000,6000,6000,5300,5000,3800,3400,3350,3500
i93_sb_500,90000,6700,6750,6100,5700,4650,4300,4400,4500
i93_sb_510,118000,7700,8400,7650,7100,6300,5900,6000,6100
i93_sb_520,90000,6200,6800,5800,5500,4600,4100,4300,4600
i93_sb_530,104000,91500,7700,6700,6200,5500,5000,5200,5400
i93_sb_540,91500,5750,6300,5250,5050,4900,4300,4400,4800
i93_sb_550,63500,3750,3600,2950,2950,3100,2500,2600,3100
i93_sb_560,66500,3850,3750,3100,3100,3350,2750,2850,3350
i93_sb_570,74500,4050,4250,3600,3700,3950,3450,3500,3850
i93_sb_hov_01,12000,700,750,800,700,850,900,1050,1000
i93_sb_hov_01a,12000,700,750,800,700,850,900,1050,1000
R12197,22000,1600,1300,1200,1200,1350,1300,1250,1150
R12198,28000,2200,2500,2200,2000,1400,1300,1250,12198
R12110,28000,1000,1650,1550,1400,1650,1600,1600,1600
R12111,28000,1500,1600,1850,1600,1700,1800,1700,1500
R12112,19000,1000,650,600,600,1300,1400,1250,1100
R12113,9000,500,950,1250,1000,400,400,450,400
R12114,14000,500,900,900,700,900,900,900,800
R12115,12500,950,1400,1450,1150,600,700,600,600
R12116,28000,2000,2700,2300,2100,1800,1800,1800,1700
TBD_001,28000,2000,2700,2300,2100,1800,1800,1800,1700
TBD_002,18000,1300,2000,1800,1600,1350,1350,1350,1250
TBD_003,29000,1500,2400,2300,2100,2350,2550,2550,2300
R12117,10000,700,700,500,500,450,450,450,450
R12118,11000,200,400,500,500,1000,1200,1200,1050
R12125,8000,200,500,500,600,600,700,650,500
R12119,21000,1300,1900,1800,1500,1750,1850,1900,1800
R12121,10000,700,1200,1050,800,950,1050,1100,1050
R50132,11000,600,700,750,700,800,800,800,750
R12124,3000,100,150,150,150,250,250,250,250
