unique_id,n_delta_x,x1,y1,x2,y2,type
i93_sb_180,2,10,100,210,100,main
i93_sb_190,3,210,100,510,100,main
i93_sb_200,2,510,100,710,100,main
i93_sb_210,3,710,100,1010,100,main
i93_sb_220,2,1010,100,1210,100,main
i93_sb_230,3,1210,100,1510,100,main
i93_sb_240,2,1510,100,1710,100,main
i93_sb_250,3,1710,100,2010,100,main
i93_sb_260,2,2010,100,2210,100,main
R12244,1,210,100,310,150,ramp
R12245,1,410,150,510,100,ramp
R12246,1,710,100,810,150,ramp
R12247,1,910,150,1010,100,ramp
R12248,1,1210,100,1310,150,ramp
R12249,1,1410,150,1510,100,ramp
R12250,1,1710,100,1810,150,ramp
R12251,1,1910,150,2010,100,ramp
