unique_id,awdt_2010,peak_2010_6_to_7_am,peak_2010_7_to_8_am,peak_2010_8_to_9_am,peak_2010_9_to_10_am,peak_2010_3_to_4_pm,peak_2010_4_to_5_pm,peak_2010_5_to_6_pm,peak_2010_6_to_7_pm
i93_sb_180,7700,7400,7000,6300,4900,4500,4750,5200,4000
i93_sb_190,7200,6900,6400,5700,4500,4250,4450,4900,3850
i93_sb_200,8250,7650,7300,6600,5200,4900,5200,5750,4400
i93_sb_210,7800,7400,700,6300,4950,4600,4850,5350,4150
i93_sb_220,8500,8050,7750,7000,5450,4900,5150,5650,4450
i93_sb_230,8150,7700,7300,6500,5150,4750,4950,5450,4300
i93_sb_240,9000,8200,7950,7200,5650,5200,5450,6100,4750
i93_sb_250,8300,7600,7300,6600,5200,4700,4950,5600,4350
i93_sb_260,9000,8100,7900,7200,5600,5200,5500,6200,4800
R12244,5000,500,600,600,400,250,300,300,150
R12245,10500,750,900,900,700,650,750,850,550
R12246,4500,250,300,300,250,300,350,400,250
R12247,7000,650,750,700,500,300,300,300,300
R12248,3500,350,450,500,300,150,200,200,150
R12249,8500,500,650,700,500,450,500,650,450
R12250,7000,600,650,600,450,500,500,500,400
R12251,7000,500,600,600,400,500,550,600,450
