unique_id,n_delta_x,x1,y1,x2,y2,type
i93_sb_260,2,10,100,210,100,main
i93_sb_270,3,210,100,510,100,main
i93_sb_280,2,510,100,710,100,main
i93_sb_290,3,710,100,1010,100,main
i93_sb_300,2,1010,100,1210,100,main
i93_sb_310,3,1210,100,1510,100,main
i93_sb_320,2,1510,100,1710,100,main
i93_sb_330,3,1710,100,2010,100,main
i93_sb_340,2,2010,100,2210,100,main
i93_sb_350,2,2210,100,2410,100,main
i93_sb_360,3,2410,100,2710,100,main
i93_sb_370,2,2710,100,2910,100,main
R12252,1,210,100,310,150,main
R12253,1,410,150,510,100,ramp
R12175,1,710,100,810,150,ramp
R12740,1,910,150,1010,100,ramp
R12176,1,1210,100,1310,150,ramp
R12697,1,1410,150,1510,100,ramp
R12177,1,1710,100,1810,150,ramp
R12178,1,1910,150,2010,100,ramp
R12179,1,2110,150,2210,100,ramp
R12180,1,2410,100,2510,150,ramp
R12181,1,2610,150,2710,100,ramp
