unique_id,awdt_2010,peak_2010_6_to_7_am,peak_2010_7_to_8_am,peak_2010_8_to_9_am,peak_2010_9_to_10_am,peak_2010_3_to_4_pm,peak_2010_4_to_5_pm,peak_2010_5_to_6_pm,peak_2010_6_to_7_pm
i93_sb_260,90000,8100,7900,7200,5600,5200,5500,6200,4800
i93_sb_270,82000,7250,6700,6000,5000,4900,5150,5900,4550
i93_sb_280,88000,7400,6900,6200,5200,5400,5750,6700,5050
i93_sb_290,68000,6000,5300,4600,3700,4200,4450,5300,4050
i93_sb_300,87000,7000,6000,5400,4800,5400,5750,6650,5350
i93_sb_310,73500,6350,5250,4600,4000,440,4750,5650,4450
i93_sb_320,100000,7800,6450,5900,5600,6100,6450,7300,6250
i93_sb_330,88500,7200,5550,5000,4900,5400,5750,6500,5650
i93_sb_340,92500,7450,5700,5200,5100,5700,6000,6850,5950
i93_sb_350,100000,7850,6100,5600,5500,6250,6550,7400,6450
i93_sb_360,90500,7350,5450,5000,5100,5550,5800,6600,5850
i93_sb_370,95000,770,5800,5400,5400,5800,6000,6800,6100
R12252,8000,850,1200,1200,600,300,350,300,250
R12253,6000,150,200,200,200,500,600,800,500
R12175,20000,1400,1600,1600,1500,1200,1300,1400,1000
R12740,19000,1000,700,800,1100,1200,1300,1350,1200
R12176,13500,650,750,800,800,1000,1000,1000,800
R12697,26500,1450,1200,1300,1600,1700,1700,1650,1800
R12177,11500,600,900,900,700,700,700,800,600
R12178,4000,250,150,200,200,300,250,350,300
R12179,7500,400,400,400,400,550,550,550,500
R12180,9500,500,650,600,400,700,750,800,600
R12181,4500,350,350,400,300,250,200,200,250
