unique_id,n_delta_x,x1,y1,x2,y2,type
sr3_sb_010,2,10,100,210,100,main
sr3_sb_020,2,210,100,410,100,main
sr3_sb_030,2,410,100,610,100,main
sr3_sb_040,3,610,100,910,100,main
sr3_sb_050,2,910,100,1110,100,main
sr3_sb_060,3,1110,100,1410,100,main
sr3_sb_070,2,1410,100,1610,100,main
sr3_sb_080,3,1610,100,1910,100,main
sr3_sb_090,2,1910,100,2110,100,main
sr3_sb_100,3,2110,100,2410,100,main
sr3_sb_110,2,2410,100,2610,100,main
sr3_sb_120,3,2610,100,2910,100,main
sr3_sb_120,2,2910,100,3110,100,main
R12016,1,110,150,210,100,ramp
R22034,1,310,150,410,100,ramp
R22035,1,610,100,710,150,ramp
R22036,1,810,150,910,100,ramp
R22037,1,1110,100,1210,150,ramp
R22038,1,1310,150,1410,100,ramp
R22039,1,1610,100,1710,150,ramp
R22040,1,1810,150,1910,100,ramp
R22041,1,2110,100,2210,150,ramp
R22042,1,2310,150,2410,100,ramp
R22043,1,2610,100,2710,150,ramp
R22044,1,2810,150,2910,100,ramp
