unique_id,awdt_2010,peak_2010_6_to_7_am,peak_2010_7_to_8_am,peak_2010_8_to_9_am,peak_2010_9_to_10_am,peak_2010_3_to_4_pm,peak_2010_4_to_5_pm,peak_2010_5_to_6_pm,peak_2010_6_to_7_pm
sr3_sb_010,38000,1400,1800,1700,1600,3000,2900,2850,2900
sr3_sb_020,67000,2600,3300,3300,3200,5400,5200,5100,5200
sr3_sb_030,79000,2900,3800,3800,3700,6400,6400,6400,6350
sr3_sb_040,63000,2300,3100,3100,2950,5200,5200,5200,5250
sr3_sb_050,71000,2500,3500,3500,3300,5900,6000,6000,5900
sr3_sb_060,59000,1900,2900,2900,2700,5150,5200,5200,5100
sr3_sb_070,63000,2050,3150,3200,2900,5450,5500,5500,5350
sr3_sb_080,54500,18850,2850,2800,2500,4700,4900,4900,4750
sr3_sb_090,56500,1900,2950,2950,2600,4850,5050,5050,4850
sr3_sb_100,47000,1550,2450,2400,2100,4100,4300,4300,4100
sr3_sb_110,53500,1700,2750,2750,2400,4700,4950,5000,4550
sr3_sb_120,39000,1050,1750,1700,1700,3450,3800,3850,3500
sr3_sb_130,45000,1200,2000,2000,2000,4000,4450,4500,3900
R12016,29000,1200,1500,1600,1600,2400,2300,2250,2300
R22034,12000,300,500,500,500,1000,1200,1300,1150
R22035,16000,600,700,700,750,1200,1200,1200,1100
R22036,8000,200,400,400,350,700,800,800,650
R22037,12000,600,600,600,600,750,800,800,800
R22038,4000,150,250,300,200,300,300,300,250
R22039,8500,200,300,400,400,750,600,600,600
R22040,2000,50,100,150,100,150,150,150,100
R22041,9500,350,500,550,500,750,750,750,750
R22042,6500,150,300,350,300,600,650,700,450
R22043,14500,50,1000,1050,700,1250,1150,1150,1050
R22044,6000,150,250,300,300,550,650,650,400
